"tag_short","Common.Name","tag_time","first_ping_A1","first_ping_A2","first_ping_A3","first_ping_A4","last_ping_A1","last_ping_A2","last_ping_A3","last_ping_A4","n_A1","n_A2","n_A3","n_A4","attraction.days","staging.days","transit.days","passage.days"
"000008917","American Shad",2017-05-08 11:18:00,2017-05-09 20:38:57.00,NA,NA,NA,2017-05-10 19:33:18.09,NA,NA,NA,14,NA,NA,NA,1.38954872685174,0.954410763887895,NA,NA
"000008918","American Shad",2017-05-08 11:30:00,2017-05-16 14:31:55.11,2017-05-16 14:32:03.27,2017-05-17 13:31:04.76,2017-05-17 13:31:56.21,2017-05-17 13:20:56.03,2017-05-17 13:22:38.03,2017-05-17 13:31:05.38,2017-05-17 13:31:56.21,11,6,2,1,8.12633240740608,0.950705092593476,0.00764085648236451,9.08467835648192
"000093602","American Shad",2017-05-16 11:45:00,2017-05-28 11:29:58.15,NA,NA,NA,2017-05-29 09:23:50.63,NA,NA,NA,9,NA,NA,NA,11.9895619212974,0.912412962963184,NA,NA
"000093603","American Shad",2017-05-10 10:38:00,2017-05-10 13:30:50.27,2017-05-10 13:31:00.44,NA,NA,2017-05-12 18:39:15.26,2017-05-12 17:48:07.17,NA,NA,24,25,NA,NA,0.120026388888558,2.21417812500011,NA,NA
"000093604","American Shad",2017-04-27 13:05:00,2017-05-04 07:15:29.34,2017-05-04 07:52:13.49,2017-05-04 08:17:31.24,2017-05-04 08:19:57.51,2017-05-04 07:52:00.90,2017-05-04 07:52:13.49,2017-05-04 08:18:18.55,2017-05-04 08:19:57.51,3,1,3,1,6.75728414351742,0.0253651620392446,0.0194053240727495,6.80205462962941
"000093605","American Shad",2017-04-18 11:55:00,2017-04-21 19:37:31.11,2017-04-22 23:42:04.95,2017-04-23 19:11:37.40,2017-04-23 19:15:10.38,2017-04-23 19:02:01.84,2017-04-23 19:02:57.11,2017-04-23 19:14:45.51,2017-04-23 19:15:11.79,25,3,6,3,3.32119351851719,1.97535555555865,0.0091430555532376,5.30569212962908
"000093606","American Shad",2017-04-18 11:47:00,2017-04-22 23:41:29.21,2017-04-24 04:48:03.13,2017-04-27 14:29:38.29,2017-04-27 14:31:21.55,2017-04-27 14:20:56.90,2017-04-27 14:21:12.32,2017-04-27 14:30:10.13,2017-04-27 14:31:21.55,21,10,2,1,4.49617141203748,4.61073726851631,0.00722974537147416,9.11413842592526
"000093624","American Shad",2017-04-12 15:00:00,2017-04-21 01:20:08.30,2017-04-21 01:20:14.25,2017-04-21 08:33:53.36,2017-04-21 08:42:58.00,2017-04-21 08:29:23.34,2017-04-21 08:29:38.75,2017-04-21 08:33:53.36,2017-04-21 08:43:13.11,3,5,1,5,8.43065173611045,0.298090740740299,0.0096037037063528,8.7383461805571
"000093628","American Shad",2017-04-27 11:35:00,2017-05-02 05:41:27.42,2017-05-02 18:09:38.76,2017-05-02 18:17:47.27,2017-05-02 18:18:45.98,2017-05-02 18:09:22.95,2017-05-02 18:09:38.76,2017-05-02 18:17:47.27,2017-05-02 18:18:45.98,48,1,1,1,4.75448402777866,0.519392708333002,0.00651655092559479,5.28039328703726
"000093630","American Shad",2017-05-01 11:45:00,2017-05-07 08:25:48.34,2017-05-07 08:25:57.72,2017-05-07 08:41:43.69,2017-05-07 08:43:52.29,2017-05-07 08:25:48.34,2017-05-07 08:25:57.72,2017-05-07 08:43:23.59,2017-05-07 08:43:52.29,1,1,5,1,5.86167071759149,0,0.0125457175931445,5.87421643518463
"000093631","American Shad",2017-04-12 15:30:00,2017-04-28 14:15:57.20,2017-04-30 11:54:50.13,2017-04-30 15:32:29.97,2017-04-30 15:33:52.05,2017-04-30 15:25:12.74,2017-04-30 15:25:49.28,2017-04-30 15:33:06.63,2017-04-30 15:33:52.25,23,12,2,2,15.9485787037043,2.04809652777734,0.0060129629627422,18.0026881944443
"181177668","Quillback",2016-04-26 12:00:00,2017-04-23 21:49:30.17,2017-04-23 22:54:22.72,2017-04-24 15:40:54.88,2017-04-24 15:50:31.57,2017-04-24 09:57:11.47,2017-04-24 09:58:17.22,2017-04-24 15:46:02.22,2017-04-24 15:50:33.20,19,28,6,2,362.409377083331,0.505339004631948,0.245390393518739,363.160106481482
